61020,matematiklærer på gladsaxe gymnasium,2016-06-28,matematik,fast stilling,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden
61021,vikariat i erhvervsøkonomi,2016-06-28,erhvervsøkonomi,vikariat,Kileparken 25,8381,Tilst,Region Midtjylland
61022,vuc syd søger hf-lærere i flere fag,2016-06-28,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,psykologi-samfundsfag,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden
61025,hf & vuc københavn syd søger nye lærere til august,2016-06-28,,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden
61027,årsvikariat i psykologi (ca. 300 timer),2016-06-29,psykologi,vikariat,Læssøegade 154,5230,Odense M,Region Syddanmark
61029,fuldtidsstilling i samfundsfag,2016-06-29,samfundsfag,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden
61031,gymnasielærer i biologi matematik og informationsteknologi,2016-06-29,biologi-matematik-teknologi,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland
61034,undervisere til matematik fysik og  kemi  - faste stillinger,2016-06-30,fysik-kemi-matematik,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland
61035,vikartimer i historie og fysik,2016-07-01,fysik-historie,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden
61036,risskov gymnasium søger tyskvikar,2016-07-01,tysk,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland
61037,vejleder med fokus på virksomheder,2016-07-01,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark
61039,årsvikariater i dansk ved frederiksberg hf-kursus,2016-07-02,dansk,vikariat,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden
61040,dansk c - vikariat,2016-07-07,dansk,vikariat,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,geografi-naturfag,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland
61044,ledig stilling på københavns private gymnasium,          ,,fast stilling,         ,    ,       ,         
61045,barselsvikariat i oldtidskundskab,2016-07-14,oldtidskundskab,vikariat,Idrætsvej 1,5883,Oure,Region Syddanmark
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,dansk-engelsk-religion,fast stilling,         ,    ,       ,         
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,dansk-engelsk-religion,fast stilling,Postboks 225,3950,Aasiaat,
